,INPUT 1- Gender,INPUT 2- Age,Current Studying,Percentage Marks,Foreign Languages Known,Dont want to be?,Hobbies,PARAM 1,PARAM 2,PARAM 3,PARAM 4,PARAM 5,PARAM 6,PARAM 7,PARAM 8,PARAM 9,PARAM 10,PARAM 11,PARAM 12,PARAM 13,PARAM 14,PARAM 15,PARAM 16,OUTPUT 1,OUTPUT 2,OUTPUT 3,OUTPUT 4,OUTPUT 5,OUTPUT 6,OUTPUT 7,OUTPUT 8,OUTPUT 9,OUTPUT 10,OUTPUT 11,OUTPUT 12,OUTPUT 13,OUTPUT 14,OUTPUT 15,OUTPUT 16,OUTPUT 17,OUTPUT 18,OUTPUT 19,OUTPUT 20,OUTPUT 35,OUTPUT 36,OUTPUT 37,OUTPUT 38,OUTPUT 39,OUTPUT 40,OUTPUT 41,OUTPUT 21,OUTPUT 22,OUTPUT 23,OUTPUT 24,OUTPUT 25,OUTPUT 26,OUTPUT 27,OUTPUT 28,OUTPUT 29,OUTPUT 30,OUTPUT 31,OUTPUT 32,OUTPUT 33,OUTPUT 34,OUTPUT 42,OUTPUT 43,OUTPUT 44,OUTPUT 45,OUTPUT 46,OUTPUT 47,OUTPUT 48,OUTPUT 49,OUTPUT 50,OUTPUT 51,OUTPUT 52,OUTPUT 53,OUTPUT 54,OUTPUT 55,OUTPUT 56,OUTPUT 57,,,,,,,,,,,,,,,
1,Male,14.1,,,,,,88,66,22,100,28,0,80,20,40,40,70,80,0,0,0,0,0.2,0.32,0.4,0.16,0.41,0.21,0.04,0.23,0.23,0.24,0.13,0.28,0.2,0.37,0.15,0.3,0.16,0.4,0.3,0.42,,,,,,,,0.58,0.51,0.6,0.44,0.21,0.51,0.21,0.41,0.23,0.22,0.56,0.41,0.21,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Male,13.5,,85-100,,A programer,Like biology and science.,0,33,33,33,42,60,60,40,30,100,80,55,0,0,0,0,0.19,0.37,0.11,0.37,0.12,0.22,0.29,0.1,0.21,0.06,0.2,0.26,0.28,0.11,0.35,0.19,0.37,0.29,0.31,0.18,,,,,,,,0.3,0.12,0.11,0.1,0.45,0.24,0.46,0.15,0.44,0.45,0.18,0.16,0.46,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Male,17.11,12th Over,Not yet,,Corporator,Singing ,22,44,77,55,14,60,100,30,20,50,80,25,0,0,0,0,0.12,0.32,0.33,0.25,0.24,0.07,0.17,0.15,0.11,0.16,,0.22,0.24,0.09,0.18,0.07,0.25,,0.12,0.24,0.08,0.11,0.16,0.16,0.15,,,0.22,0.25,0.15,0.28,0.19,0.17,0.17,0.37,0.13,0.13,0.19,0.12,0.24,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Male,15.2,"Spanish, Business, Biology, Art, Math, Literature",B+ to A,Marathi,Don't want to major in economics,"Product Design, Math/science, real estate",33,33,55,33,42,60,40,60,20,50,80,80,0,0,0,0,0.17,0.37,0.11,0.35,0.13,0.23,0.28,0.13,0.16,0.23,0.21,0.26,0.29,0.13,0.3,0.18,0.35,0.25,0.11,0.11,,,,,,,,0.19,0.21,0.13,0.21,0.37,0.15,0.36,0.25,0.32,0.35,0.18,0.13,0.36,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Male,14.1,High School,A,"Spanish, Gujarati ",,"Computer Science, Biology, Math",88,33,11,44,57,80,140,10,20,80,60,65,0,0,0,0,0.14,0.55,0.03,0.25,0.14,0.2,0.28,0.08,0.17,0.25,0.2,0.23,0.33,0.13,0.29,0.35,0.25,0.4,0.31,0.27,,,,,,,,0.36,0.28,0.33,0.32,0.51,0.32,0.52,0.16,0.52,0.52,0.28,0.28,0.55,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Male,14.1,9th grade,91-100%,Spanish,,"math,science",33,22,22,44,14,80,80,40,20,100,50,70,0,0,0,0,0.18,0.48,0.16,0.36,0.19,0.2,0.3,0.07,0.19,0.1,0.22,0.17,0.33,0.12,0.29,0.22,0.36,0.33,0.33,0.22,,,,,,,,0.28,0.12,0.08,0.08,0.44,0.21,0.44,0.12,0.41,0.43,0.15,0.16,0.49,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Male,14.2,"Geometry, Physics, History, Spanish I, Literature, Vocab, Computer Science, Graphic Arts",3.52 GPA,,"A teacher, Engineer","Sports, Running, Reading, Playing Video Games",100,55,44,77,42,40,40,50,30,70,70,95,0,0,0,0,0.22,0.37,0.32,0.19,0.37,0.2,0.04,0.17,0.22,0.29,0.14,0.27,0.18,0.35,0.15,0.34,0.19,0.43,0.31,0.35,,,,,,,,0.49,0.48,0.52,0.45,0.23,0.44,0.2,0.38,0.23,0.2,0.47,0.39,0.24,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Female,24.11,,,,A normal engineer working on normal stuff,"Traveling, music, reading",88,55,77,66,71,80,20,60,30,0,80,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.49,0.41,0.57,0.25,0.38,0.21,0.51,0.25,0.23,0.39,0.31,0.28,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Female,33.8,,,,,,55,33,55,22,100,60,40,30,50,20,70,90,0,0,0,0,0.11,0.39,0.01,0.27,0.07,0.25,0.34,0.15,0.12,0.32,0.26,0.27,0.28,0.14,0.29,0.32,0.27,0.27,0.05,0.21,,,,,,,,0.22,0.32,0.32,0.4,0.48,0.25,0.47,0.28,0.45,0.46,0.28,0.21,0.43,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Female,25.6,,,,Lazy,"Painting, dancing, reading, running, hiking",11,77,44,33,28,60,80,40,20,10,80,60,0,0,0,0,0.18,0.2,0.12,0.27,0.14,0.37,0.13,0.12,0.17,0.07,0.09,0.25,0.11,0.32,0.33,0.19,0.27,0.24,0.32,0.19,,,,,,,,0.32,0.19,0.1,0.1,0.34,0.33,0.34,0.28,0.4,0.42,0.26,0.21,0.32,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
